invariant,ids,classification
Person::PositiveAge,emp_bad,NON_VACUOUS_MIXED
Person::NamesDefined,emp_bad,NON_VACUOUS_MIXED
Branch::ManagerIsEmployee,branch_bad,NON_VACUOUS_MIXED
Branch::ManagerSalaryDominates,branch_bad,NON_VACUOUS_MIXED
CarGroup::QualityNotReflexive,cargroup_bad,NON_VACUOUS_MIXED
CarGroup::ExactlyOneLowest,,ALL_PASS
Car::NotRentedDuringMaintenance,car1,NON_VACUOUS_MIXED
Car::AtMostOneServiceDepot,car1,NON_VACUOUS_MIXED
Rental::OfferedGroup,rental_bad,NON_VACUOUS_MIXED
Rental::AssignedRequestedGroup,rental2;rental_bad,NON_VACUOUS_MIXED
Employee::PositiveSalary,emp_bad,NON_VACUOUS_MIXED
Customer::AdultCustomer,customer_bad,NON_VACUOUS_MIXED
Branch::HasEmployees,,ALL_PASS
Branch::UniqueEmployeeFirstNames,branch_bad,NON_VACUOUS_MIXED
Branch::EmployeesHaveNames,branch_bad,NON_VACUOUS_MIXED
Branch::OffersEveryFleetGroup,branch_bad,NON_VACUOUS_MIXED
Branch::EmployeePartition,,ALL_PASS
CarGroup::HasClassifiedCar,cargroup_empty,NON_VACUOUS_MIXED
CarGroup::OfferedBySomeBranch,cargroup_bad,NON_VACUOUS_MIXED
CarGroup::ExactlyOneHighest,,ALL_PASS
Car::NonBlankId,car_bad,NON_VACUOUS_MIXED
Car::GloballyUniqueId,car_dup1;car_dup2,NON_VACUOUS_MIXED
Car::FleetBranchOffersItsGroup,car_bad,NON_VACUOUS_MIXED
Rental::CustomerIsAdult,rental_bad,NON_VACUOUS_MIXED
Rental::AssignedCarInProviderFleet,rental_bad,NON_VACUOUS_MIXED
