invariant,violation_ids,classification
Person::Adult,minor,NON_VACUOUS_MIXED
Person::WorkingAge,senior_employee,NON_VACUOUS_MIXED
Person::NonBlankName,,ALL_PASS
Person::HighRating,adult_employee,NON_VACUOUS_MIXED
Person::ActiveXorAdult,boundary;lead_manager;senior_employee,NON_VACUOUS_MIXED
Person::ArithmeticBoundary,minor,NON_VACUOUS_MIXED
Person::LetAdult,minor,NON_VACUOUS_MIXED
Person::AgeSingletonIsEighteen,adult_employee;lead_manager;minor;senior_employee,NON_VACUOUS_MIXED
Person::NumericSetMembership,,ALL_PASS
Person::SeniorIsManager,,ALL_PASS
Person::ManagerCastLevel,adult_employee;boundary;minor,NON_VACUOUS_MIXED
Person::HasEmployer,,ALL_PASS
Employee::PositiveSalary,senior_employee,NON_VACUOUS_MIXED
Employee::ManagerCastFromEmployee,adult_employee,NON_VACUOUS_MIXED
Manager::SeniorLevel,senior_employee,NON_VACUOUS_MIXED
Company::HasEmployees,empty_company,NON_VACUOUS_MIXED
Company::HasManager,empty_company,NON_VACUOUS_MIXED
Company::RevenuePolicy,,ALL_PASS
Company::AllEmployeesWorkingAge,acme,NON_VACUOUS_MIXED
Company::HasAdultEmployee,empty_company,NON_VACUOUS_MIXED
Company::UniqueEmployeeNames,acme,NON_VACUOUS_MIXED
Company::EmployeePartition,,ALL_PASS
Company::DistinctProjectionCardinality,acme,NON_VACUOUS_MIXED
Company::AgeIntersection,empty_company,NON_VACUOUS_MIXED
Company::ManagerPolicy,,ALL_PASS
Company::SeesBothManagers,,ALL_PASS
