invariant,violation_ids,classification
Person::Adult,blank;minor,NON_VACUOUS_MIXED
Person::WorkingAge,old_employee;senior,NON_VACUOUS_MIXED
Person::NonBlankName,blank,NON_VACUOUS_MIXED
Person::HighRating,adult;blank;old_employee;orphan,NON_VACUOUS_MIXED
Person::ActiveOrAdult,blank,NON_VACUOUS_MIXED
Person::ActiveXorAdult,blank;boundary;lead;old_employee;orphan;senior,NON_VACUOUS_MIXED
Person::ArithmeticBoundary,blank;minor,NON_VACUOUS_MIXED
Person::LetAdult,blank;minor,NON_VACUOUS_MIXED
Person::SetAgeEqualsEighteen,adult;blank;lead;minor;old_employee;orphan;senior,NON_VACUOUS_MIXED
Person::NumericSetMembership,,ALL_PASS
Person::SeniorKind,old_employee,NON_VACUOUS_MIXED
Person::ManagerCastLevel,adult;blank;boundary;minor;old_employee;orphan,NON_VACUOUS_MIXED
Person::HasDepartment,blank;orphan,NON_VACUOUS_MIXED
Employee::PositiveSalary,senior,NON_VACUOUS_MIXED
Employee::ManagerCastFromEmployee,adult;boundary;old_employee,NON_VACUOUS_MIXED
Manager::SeniorLevel,senior,NON_VACUOUS_MIXED
Organization::HasDepartments,org_empty,NON_VACUOUS_MIXED
Organization::HasManagedDepartment,org_empty,NON_VACUOUS_MIXED
Organization::SeesBothManagers,,ALL_PASS
Department::HasStaff,empty_dept,NON_VACUOUS_MIXED
Department::AllStaffAdults,engineering,NON_VACUOUS_MIXED
Department::UniqueStaffNames,engineering,NON_VACUOUS_MIXED
Department::HasMinimumWitness,empty_dept,NON_VACUOUS_MIXED
Department::ShadowedSelection,empty_dept,NON_VACUOUS_MIXED
Department::DistinctProjectionCardinality,engineering,NON_VACUOUS_MIXED
Department::AdultPartitionEquality,,ALL_PASS
Department::AgeIntersection,empty_dept,NON_VACUOUS_MIXED
Department::DisjointAgePartitions,,ALL_PASS
Department::ActiveBranchHasStaff,empty_dept;lab,NON_VACUOUS_MIXED
Department::ManagerPolicy,empty_dept,NON_VACUOUS_MIXED
