case_study,invariant,production_status,certified_status,use_violations,neo4j_violations
medical,Person::AgeNonNegative,supported,certified,p2,p2
medical,Person::NameDefined,supported,certified,,
medical,Hospital::PositiveBudget,supported,certified,h2,h2
medical,Doctor::ScheduleMaxThreeRooms,supported,boundary,dr2,dr2
medical,Doctor::HasAssignedNurse,supported,boundary,dr2,dr2
medical,Patient::EmergencyHasSymptoms,supported,boundary,,
medical,Patient::HasAttendingPhysician,supported,boundary,p2,p2
medical,Patient::TreatmentBatchesNonEmpty,supported,boundary,p2,p2
medical,Patient::PrescriptionBatchesNonEmpty,supported,boundary,p2,p2
medical,MedicalRecord::HasRecordEntry,supported,certified,mr2,mr2
medical,Department::HasParentHospital,supported,certified,,
medical,Medication::PositivePrice,supported,certified,m2,m2
medical,Disease::NameDefined,supported,certified,dis2,dis2
car_rental,Person::PositiveAge,supported,certified,,
car_rental,Person::NamesDefined,supported,certified,,
car_rental,Branch::ManagerIsEmployee,supported,boundary,,
car_rental,Branch::ManagerSalaryDominates,supported,boundary,,
car_rental,CarGroup::QualityNotReflexive,supported,boundary,,
car_rental,CarGroup::ExactlyOneLowest,supported,certified,,
car_rental,Car::NotRentedDuringMaintenance,supported,boundary,,
car_rental,Car::AtMostOneServiceDepot,supported,boundary,,
car_rental,Rental::OfferedGroup,supported,boundary,,
car_rental,Rental::AssignedRequestedGroup,supported,boundary,rental2,rental2
