bound_constructor,bound_payload_fields,va_constructors,lean_constructors,builder_method,java_refinement_method,evidence_test,evidence_method
BoundVariable,ast;type,Variable,variableB,buildExpression,verifyBoundToVa,BoundVaProductionRefinementCoverageTest,everyProductionBoundConstructorHasExactVaAbstractionEvidence
BoundLiteral,ast;type;value,Literal,literalB,buildExpression,verifyBoundToVa,BoundVaProductionRefinementCoverageTest,everyProductionBoundConstructorHasExactVaAbstractionEvidence
BoundSetLiteral,ast;elements;type,SetLiteral,setLiteralB,buildExpression,verifyBoundToVa,BoundVaProductionRefinementCoverageTest,everyProductionBoundConstructorHasExactVaAbstractionEvidence
BoundNot,ast;expression,Not,notB,buildExpression,verifyBoundToVa,BoundVaProductionRefinementCoverageTest,everyProductionBoundConstructorHasExactVaAbstractionEvidence
BoundIf,ast;condition;thenBranch;elseBranch;type,If,ifB,buildExpression,verifyBoundToVa,BoundVaProductionRefinementCoverageTest,everyProductionBoundConstructorHasExactVaAbstractionEvidence
BoundLet,ast;value;body;type,Let,letB,buildExpression,verifyBoundToVa,BoundVaProductionRefinementCoverageTest,everyProductionBoundConstructorHasExactVaAbstractionEvidence
BoundBinary,ast;left;right;type,Binary,binaryB,buildExpression,verifyBoundToVa,BoundVaProductionRefinementCoverageTest,everyProductionBoundConstructorHasExactVaAbstractionEvidence
BoundProperty,ast;source;type;attribute;navigation;qualifiers,AttributeAccess|NavigationAccess,attributePropertyB|navigationPropertyB,buildExpression,verifyProperty,BoundVaProductionRefinementCoverageTest,everyProductionBoundConstructorHasExactVaAbstractionEvidence
BoundMethodCall,ast;source;arguments;type,MethodCall,methodCallB,buildExpression,verifyBoundToVa,BoundVaProductionRefinementCoverageTest,everyProductionBoundConstructorHasExactVaAbstractionEvidence
BoundCollectionOperation,ast;source;arguments;sourceCollectionType;type,CollectionOperation,collectionOperationB,buildExpression,verifyBoundToVa,BoundVaProductionRefinementCoverageTest,everyProductionBoundConstructorHasExactVaAbstractionEvidence
BoundIterator,ast;source;sourceCollectionType;body;type,IteratorOperation,iteratorB,buildExpression,verifyBoundToVa,BoundVaProductionRefinementCoverageTest,everyProductionBoundConstructorHasExactVaAbstractionEvidence
