constructor,ir_constructor,factory_method,planner_method,renderer_method,formal_rule,evidence_test,evidence_method
VariablePlan,Variable,variable,planOptimizedExpression,renderExpression,expectations,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
LiteralPlan,Literal,literal,planOptimizedExpression,renderExpression,expectations,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
SetLiteralPlan,SetLiteral,setLiteral,planOptimizedExpression,renderExpression,expectations,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
NotPlan,Not,not,planOptimizedExpression,renderExpression,expectations,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
BinaryPlan,Binary,binary,planOptimizedExpression,renderExpression,expectations,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
AttributeAccessPlan,AttributeAccess,attributeAccess,planOptimizedExpression,renderAttributeAccess,expectations,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
NavigationAccessPlan,NavigationAccess,navigationAccess,planOptimizedExpression,renderNavigationAccess,navigation,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
MethodCallPlan,MethodCall,methodCall,planOptimizedExpression,renderMethodCall,method,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
CollectionOperationPlan,CollectionOperation,collectionOperation,planOptimizedExpression,renderCollectionOperation,collection,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
IfPlan,If,ifExpression,planOptimizedExpression,renderExpression,expectations,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
LetPlan,Let,let,planOptimizedExpression,renderExpression,expectations,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
IteratorOperationPlan,IteratorOperation,iteratorOperation,planOptimizedExpression,renderExpression,iterator,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
ExistsSubqueryPlan,NavigationPredicateCheck,existsSubquery,planOptimizedExpression,renderExpression,predicateMode,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
NotExistsSubqueryPlan,NavigationPredicateCheck,notExistsSubquery,planOptimizedExpression,renderExpression,predicateMode,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
CountSubqueryComparisonPlan,NavigationCountComparison,countSubqueryComparison,planOptimizedExpression,renderNavigationCountComparison,predicateMode,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
NavigationAggregationPlan,NavigationAggregation,navigationAggregation,planOptimizedExpression,renderNavigationAggregation,predicateMode,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
NavigationUniquenessPlan,NavigationUniquenessCheck,navigationUniqueness,planOptimizedExpression,renderNavigationUniqueness,predicateMode,OclCypherPlanConstructorEvidenceMatrixTest,everySealedPlanConstructorHasFactoryPlannerRendererFormalRuleAndRoundTripEvidence
