java_constructor,java_payload_fields,plan_constructors,lean_constructor,lean_agreement_case,planner_method,java_refinement_method,evidence_test,evidence_method,witness_test,witness_method
Variable,name;type,VariablePlan,variableE,variableCase,planOptimizedExpression,verifyOptimizedToPlan,OclIrJavaRefinementCoverageTest,everyProductionOptimizedConstructorHasLeanAndJavaRefinementEvidence,OclIrPlanPayloadRefinementTest,allSixteenOptimizedConstructorsHaveExecutableFieldPreservingWitnesses
Literal,value;type,LiteralPlan,literalE,literalCase,planOptimizedExpression,verifyOptimizedToPlan,OclIrJavaRefinementCoverageTest,everyProductionOptimizedConstructorHasLeanAndJavaRefinementEvidence,OclIrPlanPayloadRefinementTest,allSixteenOptimizedConstructorsHaveExecutableFieldPreservingWitnesses
SetLiteral,elements;type,SetLiteralPlan,setLiteralE,setLiteralCase,planOptimizedExpression,verifyOptimizedToPlan,OclIrJavaRefinementCoverageTest,everyProductionOptimizedConstructorHasLeanAndJavaRefinementEvidence,OclIrPlanPayloadRefinementTest,allSixteenOptimizedConstructorsHaveExecutableFieldPreservingWitnesses
Not,expression;type,NotPlan,notE,notCase,planOptimizedExpression,verifyOptimizedToPlan,OclIrJavaRefinementCoverageTest,everyProductionOptimizedConstructorHasLeanAndJavaRefinementEvidence,OclIrPlanPayloadRefinementTest,allSixteenOptimizedConstructorsHaveExecutableFieldPreservingWitnesses
Binary,operator;left;right;type,BinaryPlan,binaryE,binaryCase,planOptimizedExpression,verifyOptimizedToPlan,OclIrJavaRefinementCoverageTest,everyProductionOptimizedConstructorHasLeanAndJavaRefinementEvidence,OclIrPlanPayloadRefinementTest,allSixteenOptimizedConstructorsHaveExecutableFieldPreservingWitnesses
AttributeAccess,source;attributeName;attributeType;type;attribute,AttributeAccessPlan,attributeAccessE,attributeAccessCase,planOptimizedExpression,verifyOptimizedToPlan,OclIrJavaRefinementCoverageTest,everyProductionOptimizedConstructorHasLeanAndJavaRefinementEvidence,OclIrPlanPayloadRefinementTest,allSixteenOptimizedConstructorsHaveExecutableFieldPreservingWitnesses
NavigationAccess,source;navigation;qualifiers;type,NavigationAccessPlan,navigationAccessE,navigationAccessCase,planOptimizedExpression,verifyOptimizedToPlan,OclIrJavaRefinementCoverageTest,everyProductionOptimizedConstructorHasLeanAndJavaRefinementEvidence,OclIrPlanPayloadRefinementTest,allSixteenOptimizedConstructorsHaveExecutableFieldPreservingWitnesses
MethodCall,source;methodName;arguments;type,MethodCallPlan,methodCallE,methodCallCase,planOptimizedExpression,verifyOptimizedToPlan,OclIrJavaRefinementCoverageTest,everyProductionOptimizedConstructorHasLeanAndJavaRefinementEvidence,OclIrPlanPayloadRefinementTest,allSixteenOptimizedConstructorsHaveExecutableFieldPreservingWitnesses
CollectionOperation,source;sourceCollectionType;operationName;arguments;type,CollectionOperationPlan,collectionOperationE,collectionOperationCase,planOptimizedExpression,verifyOptimizedToPlan,OclIrJavaRefinementCoverageTest,everyProductionOptimizedConstructorHasLeanAndJavaRefinementEvidence,OclIrPlanPayloadRefinementTest,allSixteenOptimizedConstructorsHaveExecutableFieldPreservingWitnesses
IteratorOperation,source;sourceCollectionType;operationName;iteratorName;body;type,IteratorOperationPlan,iteratorOperationE,iteratorOperationCase,planOptimizedExpression,verifyOptimizedToPlan,OclIrJavaRefinementCoverageTest,everyProductionOptimizedConstructorHasLeanAndJavaRefinementEvidence,OclIrPlanPayloadRefinementTest,allSixteenOptimizedConstructorsHaveExecutableFieldPreservingWitnesses
