id,value_shape,discriminator,expected_violation_ids,static_oracle,real_neo4j,lean_boundary
ND-01,Sequence(Set(Integer)),outer non-empty,,medicalNestedDiscriminatorsCompileAndMatchUseViolationIds,medicalNestedDiscriminatorsMatchUseOnRealNeo4j,nested_sequence_preserves_width
ND-02,Sequence(Set(Integer)),singleton inner,dr2,medicalNestedDiscriminatorsCompileAndMatchUseViolationIds,medicalNestedDiscriminatorsMatchUseOnRealNeo4j,nested_sequence_preserves_inner_widths
ND-03,Sequence(Set(Integer)),outer duplicate,dr1,medicalNestedDiscriminatorsCompileAndMatchUseViolationIds,medicalNestedDiscriminatorsMatchUseOnRealNeo4j,nested_sequence_payload_injective
ND-04,Sequence(Set(Integer)),outer order,dr2,medicalNestedDiscriminatorsCompileAndMatchUseViolationIds,medicalNestedDiscriminatorsMatchUseOnRealNeo4j,nested_sequence_payload_injective
ND-05,Set(Sequence(String)),empty inner,p2,medicalNestedDiscriminatorsCompileAndMatchUseViolationIds,medicalNestedDiscriminatorsMatchUseOnRealNeo4j,nested_sequence_preserves_inner_widths
ND-06,Set(Sequence(String)),singleton inner,p1;p2,medicalNestedDiscriminatorsCompileAndMatchUseViolationIds,medicalNestedDiscriminatorsMatchUseOnRealNeo4j,nested_sequence_preserves_inner_widths
ND-07,Set(Sequence(String)),inner duplicate,p1,medicalNestedDiscriminatorsCompileAndMatchUseViolationIds,medicalNestedDiscriminatorsMatchUseOnRealNeo4j,nested_sequence_payload_injective
ND-08,Set(Sequence(String)),inner order,p2,medicalNestedDiscriminatorsCompileAndMatchUseViolationIds,medicalNestedDiscriminatorsMatchUseOnRealNeo4j,nested_sequence_payload_injective
ND-09,Set(Sequence(String)),scalar bottom,p1,medicalNestedDiscriminatorsCompileAndMatchUseViolationIds,medicalNestedDiscriminatorsMatchUseOnRealNeo4j,nested_scalar_bottom_separated
ND-10,Sequence(Sequence(Medication)),empty inner,p2,medicalNestedDiscriminatorsCompileAndMatchUseViolationIds,medicalNestedDiscriminatorsMatchUseOnRealNeo4j,nested_sequence_preserves_inner_widths
ND-11,Sequence(Sequence(Medication)),singleton inner,p2,medicalNestedDiscriminatorsCompileAndMatchUseViolationIds,medicalNestedDiscriminatorsMatchUseOnRealNeo4j,nested_sequence_preserves_inner_widths
ND-12,Sequence(Sequence(Medication)),entity duplicate,p1,medicalNestedDiscriminatorsCompileAndMatchUseViolationIds,medicalNestedDiscriminatorsMatchUseOnRealNeo4j,case_study_entity_id_injective
ND-13,Sequence(Sequence(Medication)),entity order,p2,medicalNestedDiscriminatorsCompileAndMatchUseViolationIds,medicalNestedDiscriminatorsMatchUseOnRealNeo4j,case_study_entity_id_injective
ND-14,Sequence(Sequence(Medication)),no ghost,,medicalNestedDiscriminatorsCompileAndMatchUseViolationIds,medicalNestedDiscriminatorsMatchUseOnRealNeo4j,nested_entity_noGhost
