constructor,parse,bind,typing,va,normalize,cypher,proof_case,positive_test,negative_test,real_neo4j
self,OclDocumentParser,OclSemanticBinder,BoundTypeRules,OclIrBuilder,OclIrOptimizer,OclCypherPlannerRenderer,T1-T5,OclValFragmentCoverageTest,OclValNegativeAdmissionCoverageTest,OclValRealNeo4jCoverageTest
lexical variable,OclDocumentParser,OclSemanticBinder,BoundTypeRules,OclIrBuilder,OclIrOptimizer,OclCypherPlannerRenderer,T1-T5,OclValFragmentCoverageTest,OclValNegativeAdmissionCoverageTest,OclValRealNeo4jCoverageTest
Boolean literal,OclDocumentParser,OclSemanticBinder,BoundTypeRules,OclIrBuilder,OclIrOptimizer,OclCypherPlannerRenderer,T1-T5,OclValFragmentCoverageTest,OclValNegativeAdmissionCoverageTest,OclValRealNeo4jCoverageTest
Integer literal,OclDocumentParser,OclSemanticBinder,BoundTypeRules,OclIrBuilder,OclIrOptimizer,OclCypherPlannerRenderer,T1-T5,OclValFragmentCoverageTest,OclValNegativeAdmissionCoverageTest,OclValRealNeo4jCoverageTest
Real literal,OclDocumentParser,OclSemanticBinder,BoundTypeRules,OclIrBuilder,OclIrOptimizer,OclCypherPlannerRenderer,T1-T5,OclValFragmentCoverageTest,OclValNegativeAdmissionCoverageTest,OclValRealNeo4jCoverageTest
String literal,OclDocumentParser,OclSemanticBinder,BoundTypeRules,OclIrBuilder,OclIrOptimizer,OclCypherPlannerRenderer,T1-T5,OclValFragmentCoverageTest,OclValNegativeAdmissionCoverageTest,OclValRealNeo4jCoverageTest
attribute,OclDocumentParser,OclSemanticBinder,BoundTypeRules,OclIrBuilder,OclIrOptimizer,OclCypherPlannerRenderer,T1-T5,OclValFragmentCoverageTest,OclValNegativeAdmissionCoverageTest,OclValRealNeo4jCoverageTest
navigation forward,OclDocumentParser,OclSemanticBinder,BoundTypeRules,OclIrBuilder,OclIrOptimizer,OclCypherPlannerRenderer,T1-T5,OclValFragmentCoverageTest,OclValNegativeAdmissionCoverageTest,OclValRealNeo4jCoverageTest
navigation reverse,OclDocumentParser,OclSemanticBinder,BoundTypeRules,OclIrBuilder,OclIrOptimizer,OclCypherPlannerRenderer,T1-T5,OclValFragmentCoverageTest,OclValNegativeAdmissionCoverageTest,OclValRealNeo4jCoverageTest
qualified navigation,OclDocumentParser,OclSemanticBinder,BoundTypeRules,OclIrBuilder,OclIrOptimizer,OclCypherPlannerRenderer,T1-T5,OclValFragmentCoverageTest,OclValNegativeAdmissionCoverageTest,OclValRealNeo4jCoverageTest
