domain;metamodel_classifier;java_class;metamodel_field;java_component;cardinality;erasure_policy;status
OVA;Invariant;OclIr$InvariantQuery;contextClassName;contextClassName;1;preserved;CERTIFIED
OVA;Invariant;OclIr$InvariantQuery;name;invariantName;1;preserved;CERTIFIED
OVA;Invariant;OclIr$InvariantQuery;predicate;predicate;1;preserved;CERTIFIED
OVA;Invariant;OclIr$InvariantQuery;stage;stage;1;preserved;CERTIFIED
OVA;Invariant;OclIr$InvariantQuery;producerVersion;producerVersion;1;preserved;CERTIFIED
OVA;CallExpression;OclIr$CollectionOperation;source;source;1;preserved;CERTIFIED
OVA;CallExpression;OclIr$CollectionOperation;sourceCollectionType;sourceCollectionType;1;preserved;CERTIFIED
OVA;CallExpression;OclIr$CollectionOperation;operationName;operationName;1;preserved;CERTIFIED
OVA;CallExpression;OclIr$CollectionOperation;arguments;arguments;*;preserved;CERTIFIED
OVA;IteratorExpression;OclIr$IteratorOperation;source;source;1;preserved;CERTIFIED
OVA;IteratorExpression;OclIr$IteratorOperation;sourceCollectionType;sourceCollectionType;1;preserved;CERTIFIED
OVA;IteratorExpression;OclIr$IteratorOperation;iterator;iteratorName;1;preserved;CERTIFIED
OVA;IteratorExpression;OclIr$IteratorOperation;body;body;1;preserved;CERTIFIED
CQM;InvariantPlan;OclCypherPlan$InvariantPlan;contextClassName;contextClassName;1;preserved;CERTIFIED
CQM;InvariantPlan;OclCypherPlan$InvariantPlan;invariantName;invariantName;1;preserved;CERTIFIED
CQM;InvariantPlan;OclCypherPlan$InvariantPlan;predicate;predicate;1;preserved;CERTIFIED
CQM;InvariantPlan;OclCypherPlan$InvariantPlan;violationPolicy;violationPolicy;1;preserved;CERTIFIED
CQM;InvariantPlan;OclCypherPlan$InvariantPlan;evaluationPolicy;evaluationPolicy;1;preserved;CERTIFIED
CQM;CallPlan;OclCypherPlan$CollectionOperationPlan;source;source;1;preserved;CERTIFIED
CQM;CallPlan;OclCypherPlan$CollectionOperationPlan;sourceCollectionType;sourceCollectionType;1;preserved;CERTIFIED
CQM;CallPlan;OclCypherPlan$CollectionOperationPlan;operationName;operationName;1;preserved;CERTIFIED
CQM;CallPlan;OclCypherPlan$CollectionOperationPlan;arguments;arguments;*;preserved;CERTIFIED
CQM;IteratorPlan;OclCypherPlan$IteratorOperationPlan;source;source;1;preserved;CERTIFIED
CQM;IteratorPlan;OclCypherPlan$IteratorOperationPlan;sourceCollectionType;sourceCollectionType;1;preserved;CERTIFIED
CQM;IteratorPlan;OclCypherPlan$IteratorOperationPlan;iteratorName;iteratorName;1;preserved;CERTIFIED
CQM;IteratorPlan;OclCypherPlan$IteratorOperationPlan;iteratorType;iteratorVariableType;1;preserved;CERTIFIED
CQM;IteratorPlan;OclCypherPlan$IteratorOperationPlan;body;body;1;preserved;CERTIFIED
