domain;classifier;feature;kind;multiplicity;policy;witness;status
OVA;ValidationModule;languageVersion;attr;1;derived;contract:OVA.ValidationModule.languageVersion;CERTIFIED
OVA;ValidationModule;certificationProfile;attr;1;derived;contract:OVA.ValidationModule.certificationProfile;CERTIFIED
OVA;ValidationModule;invariants;val;*;mapped;java-refinement:OVA.ValidationModule.invariants;CERTIFIED
OVA;Invariant;invariantId;attr;1;erased;identity-metadata-not-used-by-denotation;CERTIFIED
OVA;Invariant;name;attr;1;mapped;java-refinement:OVA.Invariant.name;CERTIFIED
OVA;Invariant;contextClassName;attr;1;mapped;java-refinement:OVA.Invariant.contextClassName;CERTIFIED
OVA;Invariant;stage;attr;1;mapped;java-refinement:OVA.Invariant.stage;CERTIFIED
OVA;Invariant;producerVersion;attr;1;mapped;java-refinement:OVA.Invariant.producerVersion;CERTIFIED
OVA;Invariant;selfVariable;val;1;mapped;java-refinement:OVA.Invariant.selfVariable;CERTIFIED
OVA;Invariant;predicate;val;1;mapped;java-refinement:OVA.Invariant.predicate;CERTIFIED
OVA;TypeDescriptor;kind;attr;1;mapped;java-refinement:OVA.TypeDescriptor.kind;CERTIFIED
OVA;TypeDescriptor;typeName;attr;0..1;mapped;java-refinement:OVA.TypeDescriptor.typeName;CERTIFIED
OVA;TypeDescriptor;collectionKind;attr;1;mapped;java-refinement:OVA.TypeDescriptor.collectionKind;CERTIFIED
OVA;TypeDescriptor;elementType;val;0..1;mapped;java-refinement:OVA.TypeDescriptor.elementType;CERTIFIED
OVA;VariableDeclaration;symbolId;attr;1;erased;identity-metadata-not-used-by-denotation;CERTIFIED
OVA;VariableDeclaration;name;attr;1;mapped;java-refinement:OVA.VariableDeclaration.name;CERTIFIED
OVA;VariableDeclaration;declaredType;val;1;mapped;java-refinement:OVA.VariableDeclaration.declaredType;CERTIFIED
OVA;Expression;nodeId;attr;1;erased;identity-metadata-not-used-by-denotation;CERTIFIED
OVA;Expression;resultType;val;1;mapped;java-refinement:OVA.Expression.resultType;CERTIFIED
OVA;VariableExpression;declaration;ref;1;mapped;java-refinement:OVA.VariableExpression.declaration;CERTIFIED
OVA;LiteralExpression;kind;attr;1;mapped;java-refinement:OVA.LiteralExpression.kind;CERTIFIED
OVA;LiteralExpression;lexicalValue;attr;0..1;mapped;java-refinement:OVA.LiteralExpression.lexicalValue;CERTIFIED
OVA;SetExpression;elements;val;*;mapped;java-refinement:OVA.SetExpression.elements;CERTIFIED
OVA;UnaryExpression;operator;attr;1;mapped;java-refinement:OVA.UnaryExpression.operator;CERTIFIED
OVA;UnaryExpression;operand;val;1;mapped;java-refinement:OVA.UnaryExpression.operand;CERTIFIED
OVA;BinaryExpression;operator;attr;1;mapped;java-refinement:OVA.BinaryExpression.operator;CERTIFIED
OVA;BinaryExpression;left;val;1;mapped;java-refinement:OVA.BinaryExpression.left;CERTIFIED
OVA;BinaryExpression;right;val;1;mapped;java-refinement:OVA.BinaryExpression.right;CERTIFIED
OVA;IfExpression;condition;val;1;mapped;java-refinement:OVA.IfExpression.condition;CERTIFIED
OVA;IfExpression;thenBranch;val;1;mapped;java-refinement:OVA.IfExpression.thenBranch;CERTIFIED
OVA;IfExpression;elseBranch;val;1;mapped;java-refinement:OVA.IfExpression.elseBranch;CERTIFIED
OVA;LetExpression;declaration;val;1;mapped;java-refinement:OVA.LetExpression.declaration;CERTIFIED
OVA;LetExpression;value;val;1;mapped;java-refinement:OVA.LetExpression.value;CERTIFIED
OVA;LetExpression;body;val;1;mapped;java-refinement:OVA.LetExpression.body;CERTIFIED
OVA;AttributeReference;ownerClassName;attr;1;mapped;java-refinement:OVA.AttributeReference.ownerClassName;CERTIFIED
OVA;AttributeReference;attributeName;attr;1;mapped;java-refinement:OVA.AttributeReference.attributeName;CERTIFIED
OVA;AttributeReference;declaredType;val;1;mapped;java-refinement:OVA.AttributeReference.declaredType;CERTIFIED
OVA;AttributeAccessExpression;source;val;1;mapped;java-refinement:OVA.AttributeAccessExpression.source;CERTIFIED
OVA;AttributeAccessExpression;attribute;val;1;mapped;java-refinement:OVA.AttributeAccessExpression.attribute;CERTIFIED
OVA;NavigationReference;associationName;attr;1;mapped;java-refinement:OVA.NavigationReference.associationName;CERTIFIED
OVA;NavigationReference;roleName;attr;1;mapped;java-refinement:OVA.NavigationReference.roleName;CERTIFIED
OVA;NavigationReference;sourceClassName;attr;1;mapped;java-refinement:OVA.NavigationReference.sourceClassName;CERTIFIED
OVA;NavigationReference;targetClassName;attr;1;mapped;java-refinement:OVA.NavigationReference.targetClassName;CERTIFIED
OVA;NavigationReference;sourceRole;attr;0..1;mapped;java-refinement:OVA.NavigationReference.sourceRole;CERTIFIED
OVA;NavigationReference;targetRole;attr;0..1;mapped;java-refinement:OVA.NavigationReference.targetRole;CERTIFIED
OVA;NavigationReference;direction;attr;1;mapped;java-refinement:OVA.NavigationReference.direction;CERTIFIED
OVA;NavigationReference;qualified;attr;0..1;mapped;java-refinement:OVA.NavigationReference.qualified;CERTIFIED
OVA;NavigationAccessExpression;source;val;1;mapped;java-refinement:OVA.NavigationAccessExpression.source;CERTIFIED
OVA;NavigationAccessExpression;navigation;val;1;mapped;java-refinement:OVA.NavigationAccessExpression.navigation;CERTIFIED
OVA;NavigationAccessExpression;qualifiers;val;*;mapped;java-refinement:OVA.NavigationAccessExpression.qualifiers;CERTIFIED
OVA;CallExpression;callKind;attr;1;mapped;java-refinement:OVA.CallExpression.callKind;CERTIFIED
OVA;CallExpression;operationName;attr;1;mapped;java-refinement:OVA.CallExpression.operationName;CERTIFIED
OVA;CallExpression;source;val;1;mapped;java-refinement:OVA.CallExpression.source;CERTIFIED
OVA;CallExpression;sourceCollectionType;val;0..1;mapped;java-refinement:OVA.CallExpression.sourceCollectionType;CERTIFIED
OVA;CallExpression;arguments;val;*;mapped;java-refinement:OVA.CallExpression.arguments;CERTIFIED
OVA;IteratorExpression;kind;attr;1;mapped;java-refinement:OVA.IteratorExpression.kind;CERTIFIED
OVA;IteratorExpression;source;val;1;mapped;java-refinement:OVA.IteratorExpression.source;CERTIFIED
OVA;IteratorExpression;sourceCollectionType;val;1;mapped;java-refinement:OVA.IteratorExpression.sourceCollectionType;CERTIFIED
OVA;IteratorExpression;iterator;val;1;mapped;java-refinement:OVA.IteratorExpression.iterator;CERTIFIED
OVA;IteratorExpression;body;val;1;mapped;java-refinement:OVA.IteratorExpression.body;CERTIFIED
OVA;NavigationPredicateExpression;kind;attr;1;mapped;java-refinement:OVA.NavigationPredicateExpression.kind;CERTIFIED
OVA;NavigationPredicateExpression;navigation;val;1;mapped;java-refinement:OVA.NavigationPredicateExpression.navigation;CERTIFIED
OVA;NavigationPredicateExpression;iterator;val;0..1;mapped;java-refinement:OVA.NavigationPredicateExpression.iterator;CERTIFIED
OVA;NavigationPredicateExpression;predicate;val;0..1;mapped;java-refinement:OVA.NavigationPredicateExpression.predicate;CERTIFIED
OVA;NavigationCountExpression;comparisonOperator;attr;1;mapped;java-refinement:OVA.NavigationCountExpression.comparisonOperator;CERTIFIED
OVA;NavigationCountExpression;literal;attr;1;mapped;java-refinement:OVA.NavigationCountExpression.literal;CERTIFIED
OVA;NavigationCountExpression;navigation;val;1;mapped;java-refinement:OVA.NavigationCountExpression.navigation;CERTIFIED
