id;profile_decision;use_result;focus;expected_bound_type;ocl
VOID-EQ-SELF;ADMIT;BOOLEAN;RIGHT;Void;context Person inv VoidEqSelf: self = null
VOID-NEQ-STRING;ADMIT;BOOLEAN;RIGHT;Void;context Person inv VoidNeqString: 'defined' <> null
VOID-EQ-VOID;ADMIT;BOOLEAN;LEFT;Void;context Person inv VoidEqVoid: null = null
VOID-EQ-SET;ADMIT;BOOLEAN;RIGHT;Void;context Person inv VoidEqSet: Set{1} <> null
VOID-IF-INTEGER;ADMIT;BOOLEAN;LEFT;Integer;context Person inv VoidIfInteger: (if true then null else 1 endif) = null
VOID-IF-STRING;ADMIT;BOOLEAN;LEFT;String;context Person inv VoidIfString: (if false then 'defined' else null endif) <> null
VOID-IF-ENTITY;ADMIT;BOOLEAN;LEFT;Person;context Person inv VoidIfEntity: (if true then null else self endif) = null
VOID-IF-SET;ADMIT;BOOLEAN;LEFT;Set(Integer);context Person inv VoidIfSet: (if true then null else Set{1} endif) = null
VOID-IF-BOTH;ADMIT;BOOLEAN;LEFT;Void;context Person inv VoidIfBoth: (if true then null else null endif) = null
VOID-SET-INTEGER;ADMIT;BOOLEAN;SOURCE;Set(Integer);context Person inv VoidSetInteger: Set{null,1}->includes(null)
VOID-SET-STRING;ADMIT;BOOLEAN;SOURCE;Set(String);context Person inv VoidSetString: Set{'defined',null}->includes(null)
VOID-SET-ENTITY;ADMIT;BOOLEAN;SOURCE;Set(Person);context Person inv VoidSetEntity: Set{null,self}->includes(null)
VOID-LET;ADMIT;BOOLEAN;VALUE;Void;context Person inv VoidLet: let x = null in x = null
VOID-ROOT;REJECT;NON_BOOLEAN;ROOT;;context Person inv VoidRoot: null
VOID-NOT;REJECT;NON_BOOLEAN;ROOT;;context Person inv VoidNot: not null
VOID-AND;REJECT;NON_BOOLEAN;ROOT;;context Person inv VoidAnd: null and true
VOID-ORDER;REJECT;REJECT;ROOT;;context Person inv VoidOrder: null < 1
VOID-ARITH;REJECT;BOOLEAN;ROOT;;context Person inv VoidArith: null + 1 = 1
VOID-PROPERTY;REJECT;REJECT;ROOT;;context Person inv VoidProperty: null.name = ''
VOID-COLLECTION-SOURCE;REJECT;BOOLEAN;ROOT;;context Person inv VoidCollectionSource: null->size() = 0
VOID-ONLY-SET;REJECT;BOOLEAN;ROOT;;context Person inv VoidOnlySet: Set{null}->notEmpty()
VOID-HETEROGENEOUS-SET;REJECT;BOOLEAN;ROOT;;context Person inv VoidHeterogeneousSet: Set{null,1,'one'}->notEmpty()
