# PGMM-CANONICAL-1 executable instance (kind;name;value)
spec;profileId;canonical-v1
spec;schemaVersion;canonical-v7.2-typed-scalars-model-isolation
scope;keyDelimiter;::
nodeType;Object;Object
nodeType;UmlClass;UmlClass
nodeType;AttributeValue;AttributeValue
nodeType;NestedCollectionValue;NestedCollectionValue
relationshipType;ObjectInstanceOf;ObjectInstanceOf
relationshipType;InstanceOf;InstanceOf
relationshipType;ObjectHasAttribute;ObjectHasAttribute
relationshipType;HasNestedCollectionValue;HasNestedCollectionValue
relationshipType;LinkPrefix;Link
property;modelKey;STRING
property;use_id;STRING
property;objectKey;STRING
property;classKey;STRING
property;attributeKey;STRING
property;value;STRING
property;sourceQualifiers;STRING_LIST
property;targetQualifiers;STRING_LIST
key;modelScoped;true
codec;bottomToken;v1|V
accessor;context;CONTEXT
accessor;allInstances;ALL_INSTANCES
accessor;directType;DIRECT_TYPE
accessor;conformance;CONFORMANCE
accessor;attribute;ATTRIBUTE
accessor;navigation;NAVIGATION
accessor;objectIdentity;OBJECT_IDENTITY
wf;modelIsolation;OCL
